names,phone,adress,website,region,coords_gps
0,VIGNOBLES,01.01.01.01.01,1 Boulevard Victor Hugo,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
1,VERGER,06.06.06.06.06,28 Avenue de la libération,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
2,VIGNOBLES,05.05.05.05.05,60 rue de la Bretagne,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
3,PISCICULTURE,05.05.05.05.05,23 boulevard des bons coins,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
4,PISCICULTURE,06.06.06.06.06,14 rue du bon fermier,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
5,PISCICULTURE,01.01.01.01.01,17 Avenue du Général De Gaulle,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
6,VIGNOBLES,06.06.06.06.06,60 rue de la Bretagne,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
7,VIGNOBLES,04.04.04.04.04,14 rue du bon fermier,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
8,PECHEURS,04.04.04.04.04,1 Boulevard Victor Hugo,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
9,PECHEURS,07.07.07.07.07,28 Avenue de la libération,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
10,FERME,07.07.07.07.07,17 Avenue du Général De Gaulle,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
11,PISCICULTURE,02.02.02.02.02,14 rue du bon fermier,pisciculture.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
12,VERGER,03.03.03.03.03,60 rue de la Bretagne,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
13,PISCICULTURE,05.05.05.05.05,14 rue du bon fermier,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
14,VIGNOBLES,02.02.02.02.02,28 Avenue de la libération,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
15,FERME,05.05.05.05.05,1 Boulevard Victor Hugo,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
16,ELEVAGES,02.02.02.02.02,14 rue du bon fermier,aux-elevages-naturels.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
17,VERGER,07.07.07.07.07,1 Boulevard Victor Hugo,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
18,ELEVAGES,07.07.07.07.07,14 rue du bon fermier,aux-elevages-naturels.fr,BRETAGNE,48.11682532474373 -1.681704216503892
19,ELEVAGES,01.01.01.01.01,1 Boulevard Victor Hugo,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
20,PISCICULTURE,01.01.01.01.01,1 Boulevard Victor Hugo,pisciculture.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
21,VERGER,01.01.01.01.01,1 Boulevard Victor Hugo,le-verger.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
22,VERGER,01.01.01.01.01,60 rue de la Bretagne,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
23,FERME,05.05.05.05.05,60 rue de la Bretagne,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
24,PECHEURS,04.04.04.04.04,1 Boulevard Victor Hugo,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
25,FERME,04.04.04.04.04,17 Avenue du Général De Gaulle,a-la-ferme.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
26,VERGER,01.01.01.01.01,28 Avenue de la libération,le-verger.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
27,PECHEURS,02.02.02.02.02,60 rue de la Bretagne,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
28,PECHEURS,02.02.02.02.02,60 rue de la Bretagne,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
29,VIGNOBLES,01.01.01.01.01,17 Avenue du Général De Gaulle,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
